Timestamp;dealdata
28017000;-13
28043000;-25
28069000;68
28095000;28
28121000;-19
28147000;-13
28173000;-41
28199000;-57
28224000;-5
28250000;38
28275000;-34
28301000;-29
28327000;4
28353000;-14
28379000;66
28404000;-26
28430000;11
28456000;3
28482000;-105
28507000;-9
28533000;-43
28559000;-3
28585000;-1
28611000;15
28637000;63
28663000;-14
28689000;53
28715000;-89
28741000;-5
28766000;46
28793000;-25
28819000;-3
28845000;-41
28871000;7
28897000;78
28923000;-73
28949000;52
28975000;14
29001000;-17
29027000;-59
29053000;55
29079000;7
29105000;-105
29130000;7
29156000;-19
29182000;-35
29208000;33
29234000;-1
29260000;13
29286000;7
29312000;7
29338000;-91
29364000;44
29390000;-73
29416000;-61
29442000;5
29468000;-17
29494000;-25
29519000;78
29545000;31
29572000;-13
29597000;30
29623000;-122
29649000;6
29675000;55
29701000;23
29726000;7
29752000;-9
29778000;-35
29804000;3
29830000;65
29856000;-25
29881000;-27
29907000;81
29933000;-19
29959000;-29
29985000;37
30011000;-50
30037000;12
30063000;-41
30089000;-13
30115000;-89
30141000;7
30167000;-13
30192000;15
30218000;77
30244000;101
30269000;-27
30295000;-57
30321000;7
30347000;-33
30373000;-14
30399000;65
30425000;54
30451000;-21
30476000;-27
30502000;27
30528000;33
30554000;-73
30580000;-3
30606000;-14
30631000;69
30657000;11
30683000;87
30708000;35
30734000;-1
30759000;6
30785000;7
30811000;-73
30838000;15
30864000;-1
30890000;45
30916000;99
30942000;12
30968000;-25
30993000;-12
31018000;-50
31044000;35
31070000;-65
31096000;38
31122000;27
31148000;-57
31174000;-19
31200000;-25
31225000;-25
31251000;12
31276000;-25
31302000;63
31328000;19
31354000;-59
31379000;-3
31405000;15
31431000;-53
31457000;-41
31483000;43
31509000;-29
31535000;-57
31561000;31
31587000;15
31613000;-65
31640000;33
31666000;99
31691000;-95
31717000;37
31743000;-73
31768000;-29
31794000;-21
31820000;-74
31846000;47
31873000;23
31899000;-75
31925000;-42
31951000;-57
31977000;55
32003000;15
32029000;-1
32055000;-19
32081000;-29
32107000;-3
32132000;-50
32157000;-35
32183000;-33
32208000;-41
32234000;-11
32260000;-25
32286000;7
32312000;61
32338000;-21
32364000;-43
32390000;15
32416000;5
32442000;-1
32469000;-41
32495000;39
32520000;71
32546000;21
32572000;-57
32598000;-21
32624000;13
32650000;-109
32677000;-18
32703000;1
32729000;-84
32755000;-85
32781000;-19
32807000;-33
32833000;-9
32859000;7
32884000;-12
32911000;27
32937000;-1
32963000;50
32989000;47
33015000;-13
33040000;-25
33066000;-117
33092000;-13
33118000;13
33144000;75
33171000;-25
33197000;-59
33223000;55
33248000;15
33274000;4
33299000;77
33325000;34
33351000;-81
33377000;-17
33403000;29
33429000;23
33455000;-45
33481000;13
33506000;-45
33532000;-3
33557000;-17
33583000;14
33609000;-17
33634000;15
